Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-07-21,1222.15,1229.95,1229.95,1205.65,1205.8,1209.85,1214.54,1351,1.64084705e+11,,784.0,0.5803
2010-07-22,1209.85,1218.0,1219.0,1200.0,1201.0,1204.5,1209.69,1914,2.3153418e+11,,1197.0,0.6254
2010-07-23,1204.5,1192.0,1224.4,1181.1,1214.0,1203.9,1201.62,3641,4.3751142e+11,,2127.0,0.5842
2010-07-26,1203.9,1215.0,1215.0,1190.3,1190.35,1192.9,1199.07,1181,1.41610295e+11,,542.0,0.4589
2010-07-27,1192.9,1185.55,1200.95,1185.0,1185.05,1189.2,1192.55,847,1.01008805e+11,,308.0,0.3636
2010-07-28,1189.2,1194.7,1194.7,1166.05,1167.45,1170.1,1177.18,1281,1.50796155e+11,,925.0,0.7221
2010-07-29,1170.1,1199.85,1224.0,1150.0,1151.6,1154.05,1163.27,1965,2.2858312e+11,,913.0,0.4646
2010-07-30,1154.05,1159.95,1159.95,1138.0,1144.8,1141.5,1144.48,1023,1.17080505e+11,,460.0,0.4497
2010-08-02,1141.5,1130.0,1150.1,1122.0,1131.3,1137.35,1136.59,11885,1.350836665e+12,,11257.0,0.9472
2010-08-03,1137.35,1139.95,1150.0,1127.0,1137.5,1136.25,1135.33,1249,1.4180237e+11,,524.0,0.4195
2010-08-04,1136.25,1131.7,1186.0,1131.55,1180.0,1180.2,1162.71,5120,5.9530772e+11,,1650.0,0.3223
2010-08-05,1180.2,1180.0,1185.0,1150.15,1153.0,1156.55,1165.29,1633,1.9029267e+11,,849.0,0.5199
2010-08-06,1156.55,1155.95,1174.95,1155.05,1166.0,1159.7,1161.93,700,81335145000.0,,293.0,0.4186
2010-08-09,1159.7,1140.0,1194.4,1134.4,1194.0,1185.5,1178.15,2418,2.84875875e+11,,1664.0,0.6882
2010-08-10,1185.5,1185.5,1240.0,1150.0,1175.0,1163.65,1179.42,4074,4.8049752e+11,,2555.0,0.6271
2010-08-11,1163.65,1152.0,1186.8,1135.0,1171.0,1158.05,1158.62,2708,3.1375435e+11,,1828.0,0.675
2010-08-12,1158.05,1159.0,1170.0,1155.0,1166.95,1161.1,1161.55,614,71319005000.0,,310.0,0.5049
2010-08-13,1161.1,1168.8,1168.8,1144.0,1144.0,1149.4,1154.12,773,89213610000.0,,514.0,0.6649
2010-08-16,1149.4,1157.95,1157.95,1135.6,1136.6,1139.0,1144.41,694,79422320000.0,,493.0,0.7104
2010-08-17,1139.0,1149.95,1149.95,1125.55,1125.55,1128.8,1133.94,1655,1.8766722e+11,,649.0,0.3921
2010-08-18,1128.8,1126.05,1172.0,1126.05,1170.0,1152.3,1148.56,3081,3.53872115e+11,,1763.0,0.5722
2010-08-19,1152.3,1180.0,1189.95,1145.55,1158.0,1159.0,1159.32,1275,1.47813625e+11,,839.0,0.658
2010-08-20,1159.0,1166.0,1170.0,1151.2,1160.0,1160.3,1159.57,924,1.07143995e+11,,373.0,0.4037
